"","real.all_comments.textOriginal"
"1727","Oh, you based it off another joke huh? -The lies you tell-
Then why is the same exact joke right here: https://www.youtube.com/watch?v=dmnymCDPrDk
And it was published in April of 2017, merely a year ago.

Very suspect shithead. Accept it, you stole the damn joke."
"1728","Just kill him already"
"1729","Finally"
"1730","The three sheriffs or school security who fled the active shooting scene  ,, where are they now? Why doesn’t the media question their escaping heroics?? Drugged American minds and brainwashed by the media to make the same believe all the Bull shit .."
"1731","Fuck his family and not only that fuck him let him die and fuck his family let that fucker die"
"1732","I'd pipe the judge"
"1733","He is innocent"
"1734","These comments are brutal"
"1735","Who’s the judge she’s hot af"
"1736","U know there a story behind all this ..."
"1737","Sad for the families but what about the teens who were protesting for gun reform or whatever who were bullying him?"
"1738","For those who support penalty of death, you are becoming like him.Taking his life.He won't suffer too much.I thing that its worse being on jail the rest of your life,knowing that you will die there...Than 1 or 2 minuts of suffering but then you are death and you don't feel anything...So..."
"1739","Should b hung by the neck on live tv so people see what happens to u if u do something like this"
"1740","Gorgeous Judge!!"
"1741","The judge is hot"
"1742","The judge is hot"
"1743","‘Suspect’ not really a suspect is he 🤔"
"1744","I would say “your honor, can I fuck ya?”"
"1745","Damn, that judge is fine as FUCK"
"1746","If he asks for noodles, give him passer saying “your dick”. Talking about last meal of course"
"1747","Beat his ass almost to death let him recover and beat his ass and do the same thing over and over. And hand cuff him to a bed and have a big boobed lady come over, have her strip but the guy can’t touch her XD"
"1748","The judge is hot af"
"1749","The problem with high capacity weapons is, it gives weak, powerless human beings like this the ability to kill 17 people and injure 17 others.."
"1750","Just saying that judge is hot"
"1751","Let him go free lmao"
"1752","This kids a gangster.....dont bully ppl or this will happen"
"1753","Lol I'm just wondering how cute the judge is"
"1754","""School Shooting Suspect 'Stands Mute' in Court, Facing Death Penalty""

In the words of Pythagoras, ""Silence gives consent""."
"1755","I hate how the police protect and guard these killers. Lets the families serve justice."
"1756","Torture him everyday until he dies"
"1757","*Terrorist!"
"1758","😈😈😈😈😈"
"1759","If this guy was a muslim you would see in the news MUSLIM TERRORIST KILLS.. shame"
"1760","Execute him and every NRA member who supported him in causing the massacre."
"1761","Look at all the tough fucking pussies in the comments threatening him like they'd do something, stop hiding behind your screens keyboard warriors. Stay strong nick, you're a bad ass!"
"1762","FUCK NIKOLAS CRUZ, HE GONNA BURN IN HELL"
"1763","So we pay for him for the rest of his life....put him in gp with no protection let em get raped 100 or so times he'll kill himself."
"1764","Wtf what else do they need to sentence him to death"
"1765","FUCK ALL DAT"
"1766","I HOPE HE DIES"
"1767","This is why you don't bully that one white kid"
"1768","He looks exactly like i imagined him in my dreams."
"1769","Life in Prison, what a waist of time and tax payers money.  Death Penalty  is what they deserve."
"1770","Judge is a stone cold milf"
"1771","Why would someone ever say, “ death penalty is easier” 
I honestly do not understand why people say that, to me if I did ( which I wouldn’t) kill someone I would want life sentence bc I have time to come closer to god and repent of my sins, but if you did death penalty you wouldn’t have time to ask for forgiveness from god or get saved bc all that would cross your mind is what is my last meal gonna be or I’m so scared or I don’t want to die. And when you die there usually no going back unless god sees that you a worthy of another chance and god always will go through that thought process bc he loves you. And once you’re in hell you are confronted with evil and you will stay there for eternity.

And I can already see ppl commenting stuff like gods not real or you’re dumb and bla bla bla but I don’t really care because I have my beliefs and I that’s what I know, god is our father and he loves us end of story ( but hey I’m not the type of Christian to force my religion on people because god wants us to come to him when we actually feel love for him, not fake love because you feel pressured). Also I can also tell ppl are gonna be like why bring in religion, well I’m just saying what I think goes on with why I rather choose life sentence if I ever did something horrible and sinful like that."
"1772","Kill that fucking retard"
"1773","Kill him already"
"1774","Now the americans are happy that there is a new kid to be executed"
"1775","Yo this judge fine as hell"
"1776","Judge is kinda cute"
"1777","Mexican saving lives. Welcome."
"1778","Id let him rot in prison for life"
"1779","Looks like one of Tramp's/NRA's devotees."
"1780","Always thought U S schools had metal detectors, are guns plastic now or why did they get rid of metal detectors in the 90s ? Or were the metal detectors just an old wives tale ? And if they don’t have them why the hell not with all the shootings ?"
"1781","Holy shit, I'd let that judge prosecute me as long she wished."
"1782","I guess they would bully him no more..."
"1783","Ok what you should do is every 6 months remove body parts until he is down to only his torso and ONLY ABSOLUTELY NECESSARY body parts. Hehheheehheheheheh"
"1784","R u fuckin serious rn you solve death with more death is that what your sons and daughters would want."
"1785","USA IS A FUCKED UP COUNTRY!!! EVERYONE CAN BUY A SHOTGUN AT THE MALL CLOSE TO HIS HOUSE"
"1786","🗡"
"1787","KILL HIM"
"1788","That judge is hot..😂😂😂"
"1789","That judge looks like a snack😍"
"1790","Hey Cruz...just kill yourself."
"1791","He deserve respect goddamnit! He is a fucking hero"
"1792","Lock him up, give him water and no food. Let him starve."
"1793","The best death penalty for him is to shoot 30 lead in his body and watch him suffer and die."
"1794","Best I can tell this is a result of bullying maybe they should have left him alone and they would still be alive maybe you should teach your children not to bully one another take advantage of the week some people just want to be left the f*** alone"
"1795","Stupid little shit"
"1796","He didn't kill himself because he's a gutless wimp. Gutless wimps kill others but they don't have the balls to take a bullet."
"1797","School shootings are fun"
"1798","Kilk the man and done"
"1799","The frames I saw his face I stuck up my middle finger"
"1800","What’s the smallest infraction I can commit but still end up in her courtroom?"
"1801","thats what happens when you alienate and bully the shit out of someone, they got what they deserved"
"1802","There’s a simple solution to this piece of garbage, .45ACP."
"1803","https://m.youtube.com/watch?v=4ULWhQCQXxs"
"1804","Give him lethal injection with out any paralysis or numbing. Just the lethal dose so he can suffer"
"1805","And that sorry ass police should be held accountable as well."
"1806","The left act like fathers aren’t important and try to make our son passive but a father raises a man from a young age.stand up for the weak and not join in on bullying. Also how to deal with a bullying which is punch him dead in the mouth. That’s how we stop this shit."
"1807","l o l eat a cock"
"1808","Degenerated Commie, dindu nuffin"
"1809","Mr. Moseby More like Matthew Santoro"
"1810","R. FO. It's not about it being too difficult to kill him, it's about giving him a fair trial, something that EVERYONE is entitle to, no exceptions, even scum like him. He will get what's coming to him."
"1811","November SAINT why not let him serve two hells"
"1812","Can i get 200k With no vids hell is worse"
"1813","Yeah, that’s why smart people usually run the USA."
"1814","R. FO. That's to easy let him suffer in jail"
"1815","عبدالكريم المطيري remove kebab"
"1816","right, that's what I was thinking... She is so hott"
"1817","Don Johnson Oh you had sex?. Yay! good for you....."
"1818","maskenmakkan They are white knight XD."
"1819","Don Johnson lolz yea your girlfriend is really pretty you even put her on your profile picture.. Man you have to understand not everyone likes to fuck animals.. The judge is hot af."
